Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,100,100,0,0,0,0
3,100,0,100,5,5,0,0
4,95,0,95,6,6,0,0
5,89,18,107,5,5,0,0
6,102,1,103,9,9,0,0
7,94,4,98,6,6,0,0
8,92,18,110,7,7,0,0
9,103,0,103,25,25,0,0
10,78,11,89,32,32,0,0
11,57,61,118,134,118,16,0
12,0,21,21,377,21,356,0
13,0,363,363,581,363,218,0
14,0,387,387,534,387,147,0
15,0,461,461,465,461,4,0
16,0,205,205,519,205,314,0
17,0,462,462,461,461,0,0
18,1,284,285,332,285,47,0
19,0,292,292,274,274,0,0
20,18,175,193,214,193,21,0
21,0,265,265,230,230,0,0
22,35,69,104,158,104,54,0
23,0,311,311,122,122,0,0
24,189,0,189,70,70,0,0
25,119,102,221,55,55,0,0
26,166,0,166,47,47,0,0
27,119,31,150,46,46,0,0
28,104,11,115,47,47,0,0
29,68,43,111,40,40,0,0
30,71,39,110,49,49,0,0
31,61,32,93,32,32,0,0
32,61,76,137,20,20,0,0
33,117,0,117,39,39,0,0
34,78,20,98,48,48,0,0
35,50,74,124,41,41,0,0
36,83,34,117,47,47,0,0
37,70,28,98,71,71,0,0
38,27,68,95,129,95,34,0
39,0,104,104,156,104,52,0
40,0,194,194,196,194,2,0
41,0,86,86,207,86,121,0
42,0,269,269,218,218,0,0
43,51,51,102,253,102,151,0
44,0,240,240,293,240,53,0
45,0,158,158,405,158,247,0
46,0,271,271,399,271,128,0
47,0,378,378,464,378,86,0
48,0,142,142,514,142,372,0
49,0,563,563,572,563,9,0
50,0,101,101,625,101,524,0
51,0,641,641,733,641,92,0
52,0,132,132,818,132,686,0
53,0,836,836,940,836,104,0
54,0,154,154,806,154,652,0
55,0,1035,1035,757,757,0,0
56,278,0,278,565,278,287,0
57,0,751,751,518,518,0,0
58,233,0,233,434,233,201,0
59,0,563,563,383,383,0,0
60,180,2,182,391,182,209,0
61,0,364,364,386,364,22,0
62,0,179,179,459,179,280,0
63,0,321,321,553,321,232,0
64,0,356,356,669,356,313,0
65,0,383,383,899,383,516,0
66,0,508,508,1229,508,721,0
67,0,765,765,1511,765,746,0
68,0,900,900,1380,900,480,0
69,0,948,948,1197,948,249,0
70,0,569,569,998,569,429,0
71,0,890,890,739,739,0,0
72,151,251,402,625,402,223,0
73,0,441,441,408,408,0,0
74,33,437,470,320,320,0,0
75,150,54,204,255,204,51,0
76,0,373,373,190,190,0,0
77,183,29,212,160,160,0,0
78,52,100,152,117,117,0,0
79,35,144,179,103,103,0,0
80,76,45,121,80,80,0,0
81,41,116,157,63,63,0,0
82,94,29,123,55,55,0,0
83,68,53,121,93,93,0,0
84,28,42,70,112,70,42,0
85,0,182,182,179,179,0,0
86,3,48,51,224,51,173,0
87,0,325,325,261,261,0,0
88,64,39,103,226,103,123,0
89,0,304,304,213,213,0,0
90,91,28,119,212,119,93,0
91,0,240,240,180,180,0,0
92,60,88,148,178,148,30,0
93,0,136,136,164,136,28,0
94,0,179,179,164,164,0,0
95,15,91,106,125,106,19,0
96,0,179,179,170,170,0,0
97,9,50,59,205,59,146,0
98,0,311,311,199,199,0,0
99,112,28,140,206,140,66,0
100,0,167,167,238,167,71,0
101,0,171,171,280,171,109,0
102,0,205,205,317,205,112,0
103,0,214,214,405,214,191,0
104,0,236,236,953,236,717,0
105,0,382,382,1542,382,1160,0
106,0,1409,1409,1890,1409,481,0
107,0,746,746,1769,746,1023,0
108,0,1520,1520,1240,1240,0,0
109,280,391,671,910,671,239,0
110,0,719,719,633,633,0,0
111,86,598,684,467,467,0,0
112,217,140,357,387,357,30,0
113,0,329,329,355,329,26,0
114,0,235,235,340,235,105,0
115,0,268,268,352,268,84,0
116,0,195,195,432,195,237,0
117,0,290,290,526,290,236,0
118,0,347,347,685,347,338,0
119,0,362,362,810,362,448,0
120,0,609,609,783,609,174,0
121,0,406,406,658,406,252,0
122,0,497,497,566,497,69,0
123,0,289,289,445,289,156,0
124,0,439,439,409,409,0,0
125,30,117,147,283,147,136,0
126,0,452,452,247,247,0,0
127,205,0,205,209,205,4,0
128,0,254,254,221,221,0,0
129,33,80,113,279,113,166,0
130,0,269,269,374,269,105,0
131,0,176,176,458,176,282,0
132,0,397,397,639,397,242,0
133,0,232,232,618,232,386,0
134,0,737,737,550,550,0,0
135,187,12,199,553,199,354,0
136,0,531,531,459,459,0,0
137,72,198,270,548,270,278,0
138,0,299,299,469,299,170,0
139,0,568,568,478,478,0,0
140,90,22,112,459,112,347,0
141,0,615,615,428,428,0,0
142,187,0,187,521,187,334,0
143,0,360,360,574,360,214,0
144,0,416,416,612,416,196,0
145,0,308,308,757,308,449,0
146,0,465,465,697,465,232,0
147,0,588,588,690,588,102,0
148,0,229,229,660,229,431,0
149,0,698,698,535,535,0,0
150,163,86,249,403,249,154,0
151,0,396,396,415,396,19,0
152,0,146,146,387,146,241,0
153,0,509,509,385,385,0,0
154,124,7,131,444,131,313,0
155,0,412,412,481,412,69,0
156,0,210,210,569,210,359,0
157,0,403,403,553,403,150,0
158,0,387,387,380,380,0,0
159,7,281,288,354,288,66,0
160,0,207,207,332,207,125,0
161,0,424,424,337,337,0,0
162,87,52,139,339,139,200,0
163,0,348,348,318,318,0,0
164,30,99,129,318,129,189,0
165,0,293,293,336,293,43,0
166,0,151,151,286,151,135,0
167,0,306,306,265,265,0,0
168,41,87,128,288,128,160,0
169,0,288,288,261,261,0,0
170,27,139,166,237,166,71,0
171,0,203,203,266,203,63,0
172,0,163,163,205,163,42,0
173,0,258,258,170,170,0,0
174,88,57,145,167,145,22,0
175,0,187,187,134,134,0,0
176,53,111,164,128,128,0,0
177,36,76,112,119,112,7,0
178,0,152,152,129,129,0,0
179,23,74,97,85,85,0,0
180,12,157,169,90,90,0,0
181,79,21,100,63,63,0,0
182,37,152,189,59,59,0,0
183,130,0,130,59,59,0,0
184,71,66,137,55,55,0,0
185,82,31,113,65,65,0,0
186,48,45,93,62,62,0,0
187,31,91,122,68,68,0,0
188,54,42,96,78,78,0,0
189,18,88,106,86,86,0,0
190,20,83,103,126,103,23,0
191,0,90,90,164,90,74,0
192,0,192,192,177,177,0,0
193,15,105,120,187,120,67,0
194,0,169,169,284,169,115,0
195,0,137,137,300,137,163,0
196,0,383,383,275,275,0,0
197,108,42,150,246,150,96,0
198,0,254,254,293,254,39,0
199,0,107,107,317,107,210,0
200,0,371,371,271,271,0,0
201,100,71,171,320,171,149,0
202,0,209,209,377,209,168,0
203,0,328,328,423,328,95,0
204,0,202,202,441,202,239,0
205,0,368,368,365,365,0,0
206,3,188,191,387,191,196,0
207,0,282,282,368,282,86,0
208,0,323,323,378,323,55,0