Start,Memory,Lead,Forecast,Buffer,Capacity,Top,Power,ARIMA,SVR,Succeeded,Failed,Lost,Arrived,Remaining,Time
1,8,2,4,500,None,5,3,None,None,76616,0,0,81458,4842,0:08
1,8,2,4,500,None,1,3,None,None,76616,0,0,93817,17201,0:08
1,8,2,3,500,None,1,3,None,None,76534,82,0,83740,7206,0:07
1,8,2,4,500,None,1,2,None,None,75925,691,0,79347,3422,0:06
1,8,2,4,500,None,10,3,None,None,75289,1327,0,77614,2325,0:08
1,8,2,4,500,None,5,2,None,None,74356,2260,0,76534,2178,0:06
1,8,2,3,500,None,5,3,None,None,74086,2530,0,76089,2003,0:07
1,8,2,3,500,None,1,2,None,None,73822,2794,0,75418,1596,0:06
1,8,2,4,500,None,10,2,None,None,73686,2930,0,75574,1888,0:06
1,8,2,3,500,None,10,3,None,None,73598,3018,0,74881,1283,0:07
1,8,2,3,500,None,5,2,None,None,72966,3650,0,74370,1404,0:06
1,8,2,3,500,None,10,2,None,None,72127,4489,0,73341,1214,0:06