Forecast,ARIMA,ARIMA + LLMs,Improvement
1,51.69%,62.80%,11.11%
2,52.43%,57.28%,4.85%
3,50.73%,54.15%,3.41%
4,49.02%,47.55%,-1.47%
5,49.26%,46.80%,-2.46%
6,48.02%,47.03%,-0.99%
7,48.76%,48.76%,0.00%
8,46.00%,45.00%,-1.00%
9,45.23%,45.73%,0.50%
10,45.45%,46.46%,1.01%
11,47.21%,48.73%,1.52%
12,46.43%,46.94%,0.51%
13,44.10%,,
14,44.33%,,
15,45.60%,,
16,45.31%,,
17,45.03%,,
18,45.79%,,
19,44.97%,,
20,45.21%,,
21,44.92%,,
22,44.62%,,
23,43.78%,,
24,44.57%,,
25,45.90%,,
26,45.60%,,
27,46.41%,,
28,46.67%,,
29,46.93%,,
30,47.75%,,
31,47.46%,,
32,47.16%,,
33,46.86%,,
34,47.13%,,
35,47.98%,,
36,48.84%,,
37,47.95%,,
38,47.65%,,
39,47.34%,,
40,47.62%,,
41,47.90%,,
42,48.19%,,
43,47.88%,,
44,46.34%,,
45,46.63%,,
46,45.68%,,
47,45.34%,,
48,43.75%,,
49,43.40%,,
50,43.67%,,
51,43.31%,,
52,43.59%,,
53,43.23%,,
54,43.51%,,
55,43.14%,,
56,42.76%,,
57,42.38%,,
58,41.33%,,
59,40.27%,,
60,39.86%,,
61,40.14%,,
62,39.73%,,
63,39.31%,,
64,38.89%,,
65,38.46%,,
66,38.03%,,
67,37.59%,,
68,37.14%,,
69,36.69%,,
70,36.23%,,
71,35.77%,,
72,35.29%,,
73,35.56%,,
74,35.07%,,
75,34.59%,,
76,34.09%,,
77,33.59%,,
78,33.85%,,
79,33.33%,,
80,33.59%,,
81,33.86%,,
82,34.92%,,
83,35.20%,,
84,35.48%,,
85,34.96%,,
86,34.43%,,
87,33.88%,,
88,33.33%,,
89,32.77%,,
90,32.20%,,
91,31.62%,,
92,30.17%,,
93,30.43%,,
94,29.82%,,
95,29.20%,,
96,29.46%,,
97,28.83%,,
98,28.18%,,
99,27.52%,,
100,26.85%,,
101,26.17%,,
102,25.47%,,
103,24.76%,,
104,24.04%,,
105,23.30%,,
106,24.51%,,
107,24.75%,,
108,25.00%,,
109,25.25%,,
110,25.51%,,
111,25.77%,,
112,27.08%,,
113,27.37%,,
114,27.66%,,
115,27.96%,,
116,28.26%,,
117,29.67%,,
118,30.00%,,
119,30.34%,,
120,30.68%,,
121,31.03%,,
122,31.40%,,
123,31.76%,,
124,32.14%,,
125,32.53%,,
126,32.93%,,
127,33.33%,,
128,35.00%,,
129,35.44%,,
130,35.90%,,
131,36.36%,,
132,36.84%,,
133,37.33%,,
134,37.84%,,
135,39.73%,,
136,38.89%,,
137,38.03%,,
138,37.14%,,
139,36.23%,,
140,35.29%,,
141,34.33%,,
142,33.33%,,
143,32.31%,,
144,31.25%,,
145,30.16%,,
146,29.03%,,
147,27.87%,,
148,28.33%,,
149,28.81%,,
150,29.31%,,
151,28.07%,,
152,26.79%,,
153,25.45%,,
154,24.07%,,
155,22.64%,,
156,21.15%,,
157,19.61%,,
158,18.00%,,
159,16.33%,,
160,14.58%,,
161,12.77%,,
162,10.87%,,
163,11.11%,,
164,11.36%,,
165,11.63%,,
166,11.90%,,
167,12.20%,,
168,12.50%,,
169,12.82%,,
170,13.16%,,
171,13.51%,,
172,13.89%,,
173,14.29%,,
174,14.71%,,
175,15.15%,,
176,15.62%,,
177,16.13%,,
178,16.67%,,
179,17.24%,,
180,17.86%,,
181,18.52%,,
182,19.23%,,
183,20.00%,,
184,20.83%,,
185,21.74%,,
186,22.73%,,
187,23.81%,,
188,25.00%,,
189,26.32%,,
190,27.78%,,
191,29.41%,,
192,25.00%,,
193,20.00%,,
194,14.29%,,
195,7.69%,,
196,0.00%,,
197,0.00%,,
198,0.00%,,
199,0.00%,,
200,0.00%,,
201,0.00%,,
202,0.00%,,
203,0.00%,,
204,0.00%,,
205,0.00%,,
206,0.00%,,
207,0.00%,,