Forecast,Baseline,Unmasked,Masked
1,741.16,684.36,674.88
2,2033.36,1974.27,1994.39
3,3815.97,3684.39,3838.56
4,5820.36,5850.58,5906.67
5,7935.35,8291.61,7901.50
6,10169.18,10179.93,10358.95
7,12377.53,12811.77,12555.03
8,14479.35,14686.37,14628.27
9,16464.48,16587.94,16607.28
10,18207.38,17888.02,18308.12
11,19922.80,20011.90,20070.88
12,21512.70,21541.83,21556.53
13,23243.78,,
14,25073.84,,
15,27177.76,,
16,29389.42,,
17,31656.55,,
18,33970.61,,
19,36316.90,,
20,38696.77,,
21,41094.99,,
22,43489.60,,
23,45849.94,,
24,48139.10,,
25,50378.02,,
26,52587.93,,
27,54777.80,,
28,57007.60,,
29,59258.80,,
30,61508.95,,
31,63774.49,,
32,66019.73,,
33,68259.21,,
34,70328.35,,
35,72098.35,,
36,73648.74,,
37,74946.49,,
38,75905.95,,
39,76756.71,,
40,77757.04,,
41,79127.96,,
42,80879.35,,
43,82922.32,,
44,85202.25,,
45,87591.32,,
46,90007.28,,
47,92417.30,,
48,94746.89,,
49,96953.37,,
50,99082.30,,
51,101179.35,,
52,103431.68,,
53,105794.48,,
54,108209.75,,
55,110712.80,,
56,113280.87,,
57,115942.23,,
58,118714.18,,
59,121551.75,,
60,124535.48,,
61,127655.74,,
62,130782.42,,
63,133831.58,,
64,136913.63,,
65,139817.99,,
66,142681.56,,
67,145571.79,,
68,148390.89,,
69,151287.33,,
70,154247.81,,
71,157222.12,,
72,160370.10,,
73,163410.14,,
74,166608.42,,
75,169794.66,,
76,173045.83,,
77,176320.02,,
78,179267.68,,
79,182077.12,,
80,184809.88,,
81,187549.39,,
82,190345.74,,
83,193269.01,,
84,196288.43,,
85,199526.63,,
86,202803.10,,
87,206308.79,,
88,210041.00,,
89,214239.33,,
90,218669.43,,
91,222849.49,,
92,226682.28,,
93,230277.29,,
94,233658.77,,
95,236972.71,,
96,240258.11,,
97,243632.39,,
98,247278.10,,
99,251598.21,,
100,257379.59,,
101,257932.76,,
102,238626.65,,
103,211331.53,,
104,194643.98,,
105,196419.63,,
106,199697.35,,
107,202832.82,,
108,205909.78,,
109,208933.50,,
110,211908.16,,
111,214897.89,,
112,217932.46,,
113,220915.77,,
114,223805.05,,
115,226800.00,,
116,229795.13,,
117,232818.61,,
118,235832.47,,
119,238911.11,,
120,241954.74,,
121,244983.17,,
122,248063.09,,
123,250970.73,,
124,253631.94,,
125,255986.44,,
126,258206.19,,
127,260252.00,,
128,262234.83,,
129,264214.77,,
130,266391.40,,
131,268857.72,,
132,271402.54,,
133,273981.55,,
134,276720.68,,
135,279609.05,,
136,282849.94,,
137,287161.02,,
138,292268.12,,
139,299327.59,,
140,289733.77,,
141,256515.14,,
142,207167.05,,
143,173575.70,,
144,167706.09,,
145,170904.98,,
146,174366.15,,
147,177114.35,,
148,179249.28,,
149,181357.12,,
150,183409.03,,
151,186013.69,,
152,189754.77,,
153,194441.65,,
154,198684.91,,
155,194527.34,,
156,166501.17,,
157,144482.10,,
158,127071.59,,
159,121514.82,,
160,119267.16,,
161,124240.83,,
162,128961.95,,
163,133114.73,,
164,137721.84,,
165,140858.13,,
166,143513.81,,
167,145753.64,,
168,147878.05,,
169,149823.75,,
170,151140.94,,
171,151965.74,,
172,151919.89,,
173,151413.97,,
174,150534.46,,
175,149355.24,,
176,147695.56,,
177,145485.58,,
178,144488.65,,
179,143976.08,,
180,144257.02,,
181,144290.72,,
182,144045.56,,
183,143578.86,,
184,143031.90,,
185,145368.75,,
186,148655.23,,
187,152523.84,,
188,156786.43,,
189,161429.69,,
190,165941.22,,
191,169539.72,,
192,167325.47,,
193,168020.02,,
194,194920.16,,
195,219814.95,,
196,155860.63,,
197,53838.32,,
198,6583.69,,
199,5482.75,,
200,1778.13,,
201,1487.49,,
202,1197.88,,
203,1219.23,,
204,1313.69,,
205,1177.82,,
206,740.87,,
207,0.00,,